City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
455,hayden,47.766,-116.7866,7.78000000000003,73,100,4.63,US,1682106671
456,luderitz,-26.6481,15.1594,15.360000000000014,63,9,3.09,NA,1682106910
457,san luis de la loma,17.2706,-100.8939,30.710000000000036,51,14,5.62,MX,1682106911
458,mamuju,-2.6748,118.8885,25.79000000000002,83,68,1.97,ID,1682106911
459,karratha,-20.7377,116.8463,24.210000000000036,45,100,4.62,AU,1682106912
460,abepura,-2.6333,140.5833,25.450000000000045,89,40,0.0,ID,1682106913
461,yuli,9.6989,10.2744,31.939999999999998,44,100,4.33,NG,1682106914
462,clane,53.2914,-6.6892,11.150000000000034,77,75,7.2,IE,1682106914
463,dryden,49.7833,-92.7503,-0.839999999999975,80,100,7.72,CA,1682106915
464,hami,42.8,93.45,12.710000000000036,12,100,0.28,CN,1682106916
465,prince rupert,54.3161,-130.3201,11.050000000000011,47,0,2.57,CA,1682106916
466,paramonga,-10.6667,-77.8333,25.58000000000004,74,56,4.96,PE,1682106917
467,bereznik,62.8551,42.7072,1.4300000000000068,100,100,0.9,RU,1682106917
468,zalingei,12.9096,23.4741,29.410000000000025,10,1,3.04,SD,1682106918
469,cidreira,-30.1811,-50.2056,20.80000000000001,67,6,4.92,BR,1682106919
470,rumoi,43.9344,141.6428,4.230000000000018,69,59,7.14,JP,1682106920
471,la passe,45.5549,-0.8967,16.129999999999995,75,100,5.74,FR,1682106921
472,tevriz,57.509,72.4042,2.4600000000000364,86,100,2.15,RU,1682106922
473,salinas,36.6777,-121.6555,26.660000000000025,46,0,2.68,US,1682106922
474,jamestown,42.097,-79.2353,26.400000000000034,61,75,7.72,US,1682106827
475,nuuk,64.1835,-51.7216,0.34000000000003183,86,75,2.06,GL,1682106923
476,dingcheng,32.1272,115.0394,11.79000000000002,36,100,8.74,CN,1682106924
477,sarupathar,26.1984,93.8094,23.379999999999995,70,100,0.68,IN,1682106925
478,zhaqsy,51.9083,67.3133,3.8600000000000136,79,81,3.77,KZ,1682106926
479,bagayevskaya,47.32,40.38,11.620000000000005,93,79,5.36,RU,1682106926
480,tejen,37.3834,60.5054,20.33000000000004,11,0,5.76,TM,1682106927
481,umluj,25.0213,37.2685,27.07000000000005,51,2,2.49,SA,1682106927
482,villa de soto,-30.8552,-64.9995,24.110000000000014,37,100,5.84,AR,1682106928
483,zaraysk,54.7653,38.8836,8.370000000000005,66,99,6.01,RU,1682106928
484,manismata,-2.4667,111.0333,24.060000000000002,95,48,1.01,ID,1682106929
485,lethem,3.3803,-59.7968,31.420000000000016,59,99,2.46,GY,1682106930
486,lamarque,-39.423,-65.7021,23.920000000000016,27,64,7.7,AR,1682106931
